,composition,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,GeTe,296.5046782020201,401.65135553030296,315.2203835959595,294.3897232070707,369.3349142929292,343.41879487373734,308.6787593232322,333.9075973737373,299.1351126666666,362.3194316161615
1,Ge0.975Bi0.025Te,296.45803561616157,284.13013955555544,301.53652108080803,316.1481791717171,323.2002954040404,301.75984252525245,352.9290294444444,349.2165792424242,390.4281081565656,297.5280469595959
2,Ge0.95Bi0.05Te,365.31137443434335,317.4186869292929,358.3599922727272,397.42252026262616,409.26760171717166,368.7714527020201,390.58841939393926,351.0013187878787,430.51039853535343,383.4195356060605
3,Ge0.925Bi0.025Cd0.025Te,375.3620562878787,345.3406258585858,421.3011416666666,439.2315809090908,435.9948343939393,395.2808341919191,428.8498962121211,394.178029040404,383.2701686363635,422.04344010101005
4,Ge0.95Bi0.025Te0.975(CdTe)0.025,378.04275463636355,332.831859090909,413.91015601010093,445.2173816666666,415.6024499494948,399.13917580808067,440.01342969696964,410.2825119191918,385.3138712020201,405.69431666666657
5,Ge0.825Bi0.025Sb0.1Te0.95(CdTe)0.05,511.2269438888888,480.6897135353534,547.1882920202019,513.6130946464646,574.3559461616161,459.8929276767676,453.44258333333323,531.1486995454545,532.506752070707,492.1646969696968
6,Ge0.500Ti0.500Te,160.06859821212117,112.43439327272725,158.88338404040402,192.59148863636358,193.87400368686863,154.8987587272727,121.60257034343432,184.63927380303025,184.51395779797977,120.09057817171713
7,Ge0.500V0.500Te,120.1534779393939,108.47731514646462,135.91449625252523,189.24501548484844,223.9492512626262,119.07092432323229,106.97377747979796,182.5235176464646,170.78919763636358,110.45952418181815
8,Ge0.500Cr0.500Te,141.26919682828282,102.31188638888885,132.27872561616158,152.68801448484845,218.18788621717167,161.91845043434338,150.74004384848482,213.76295269696965,181.5180313434343,138.55114529797976
9,Ge0.500Mn0.500Te,206.7876057727272,143.04498918181815,160.06064040404038,220.61500506060602,266.08615440404037,178.38315750505046,160.19583951515145,202.3127145252525,218.27624813636356,135.42686957575754
10,Ge0.500Fe0.500Te,67.86450034343433,49.32921589898988,105.23079497474744,71.41385429292927,79.36181960101008,88.11524655050503,81.36717856565654,126.41308146969695,95.51138031313128,107.18475871212118
11,Ge0.500Co0.500Te,51.64889955555555,38.69110663636363,76.11259787121209,37.119799994949496,61.62733497474746,67.73078763636362,86.46444979292927,89.3756643232323,51.046936994949476,72.77017536868684
12,Ge0.500Ni0.500Te,80.87613594444443,68.39701319696968,117.32252305555552,76.73488681818182,87.68963818181815,122.1143286363636,111.23423480808079,112.39152370707069,84.04407156212118,142.08204706060602
13,Ge0.500Cu0.500Te,146.20952689898985,132.0473752323232,154.77292467676764,164.19896833333328,211.37771921212118,193.01228226262617,141.86590167676763,140.97274426767675,188.19046160101004,155.77340557575752
14,Ge0.500Zn0.500Te,164.81860815151512,181.85259710101005,161.82838969696965,241.9355388131313,239.17939987878782,177.9512287474747,195.0276784797979,241.1880520656565,259.25238679797974,169.06068404545454
15,Ge0.500Zr0.500Te,220.25537010101004,113.59250101010097,190.27728211111105,234.64957353535345,204.40695511111105,152.057343050505,164.3129589595959,181.986325030303,223.1929027777777,141.55625030303025
16,Ge0.500Nb0.500Te,147.9304685555555,97.17752090909087,130.89761227272726,199.7059447323232,186.23187369696964,125.40364597979794,94.29370701515148,104.83756251515149,146.8465646111111,96.17256162626259
17,Ge0.500Mo0.500Te,43.02979542828282,32.922415335858574,52.773924550505036,61.85088626262624,90.32223388888886,33.01942895303029,45.33355403535353,47.69932497323231,64.31551485353533,64.7610816313131
18,Ge0.500Ag0.500Te,257.9175538282828,237.0402174848484,206.1074317878787,240.73449801010094,305.23878732323226,242.41814043434337,201.45101237878785,244.39043247474743,320.0788531212121,202.24243810606055
19,Ge0.500Cd0.500Te,252.7697571262626,219.21613732323223,213.41627290404034,244.27842748484844,229.86226444444435,291.0302927575757,181.33540501010097,319.74249636363623,308.8765659595959,201.23798353535346
20,Ge0.500Hf0.500Te,203.1143847373737,116.23666639393936,178.28735798989894,241.8723418787878,203.35236570707067,166.28500461616156,171.5127376363636,188.92395338383832,225.86496419191914,146.0962117474747
21,Ge0.500Al0.500Te,276.5861462828282,150.27811578787873,188.28176747979794,310.1434009090909,375.41374919191907,200.0973315757575,211.51755916161613,274.5866579191919,269.25694638383834,191.7148804343434
22,Ge0.500Ga0.500Te,239.95101524242415,185.65192901010096,199.74192722222216,346.2366749999999,389.8718358585858,203.16423967171713,193.17041831313128,295.2436464797979,256.3250965151515,184.6872802525252
23,Ge0.500In0.500Te,263.13368963636356,188.54723329797974,171.1992807727272,332.53148419191916,333.0064195959595,208.9426548585858,136.40843268686865,255.93460580808076,276.7137347727272,205.85795857575755
24,Ge0.500Si0.500Te,353.19240823232315,136.56607337373737,270.47294079797973,374.605318080808,289.6143973737373,271.8138766666666,182.0550316515151,276.64584064646453,290.06711454545444,164.9351456565656
25,Ge0.500Sn0.500Te,189.76545101010097,154.72114265151512,147.89890057575752,201.21348533838378,229.12075070707064,170.14127270707064,128.4891137373737,218.5049619696969,233.87112942424235,139.70811251515147
26,Ge0.500Sb0.500Te,471.5139937878787,359.63933328282815,402.78457803030295,471.4579295959595,476.204454090909,379.66400656565645,338.17323580808073,439.9226415151514,442.2912372727272,322.71445363636354
27,Ge0.500Bi0.500Te,334.84599666666657,225.11479214141409,281.8854429797979,291.6595824747474,327.86621772727267,280.3017729292929,221.2606246767676,310.1050789393939,311.65997964646454,233.01688323232315
28,Ge0.500Y0.500Te,272.67997597979786,170.96114521212115,201.7479201717171,261.0873285353535,300.97524075757565,181.86658171717167,209.72429137373732,201.0346727272727,294.9615656565656,156.7863722575757
29,Ge0.500Gd0.500Te,253.3213798484848,170.71166,206.71860019191917,222.9135537373737,274.05452438383827,170.55612880808076,170.5342145353535,180.64042069696967,247.19045035353528,157.52379679292926
30,Ge0.500Yb0.500Te,239.47201787878782,123.95941221212117,140.07183268686865,152.19151334343428,215.45931621212117,226.89898259595955,151.6934266868686,191.34015030303024,174.8683976161616,167.2294797626262
31,Ge0.500Ti0.100V0.400Te,242.91839641414134,232.27392666666663,210.68035603030296,327.72717368686864,333.0481776868686,340.37651163131306,295.47042209090904,288.1659294949494,377.1474425252524,239.28041181818176
32,Ge0.500Ti0.200V0.300Te,189.07932616161614,167.47883709595953,130.58052920707067,271.2743599595959,244.06065094949489,190.24414991919187,168.68054019191914,184.38363905555548,231.07755568181813,146.4726215
